qid,docno,label,stance
103,7721,1,pro
103,7658,1,pro
103,7708,1,pro
103,7729,1,pro
103,7701,1,pro
103,7684,1,pro
103,7703,1,pro
103,7618,1,pro
103,7619,1,pro
103,7657,1,pro
103,7662,1,pro
103,7733,1,pro
103,7741,1,pro
103,7656,1,pro
103,7710,1,pro
103,7737,1,pro
103,7704,1,pro
103,7726,1,pro
103,7719,1,pro
103,7675,1,pro
103,7718,1,pro
103,7711,1,pro
103,7622,1,pro
103,7725,1,pro
103,7712,1,pro
103,7676,1,pro
103,7720,1,pro
103,7728,1,pro
103,7740,1,pro
103,7621,1,pro
103,7727,1,pro
103,7747,1,pro
103,7770,1,con
103,7732,1,con
103,7705,1,con
103,7763,1,con
103,7630,1,con
103,7634,1,con
103,7771,1,con
103,7736,1,con
103,7631,1,con
103,7706,1,con
103,7699,1,con
103,7724,1,con
103,7764,1,con
103,7772,1,con
103,7669,1,con
103,7762,1,con
103,7628,1,con
103,7742,1,con
103,7629,1,con
103,7773,1,con
103,7713,1,con
103,7664,1,con
103,7735,1,con
103,7734,1,con
103,7633,1,con
103,7760,1,con
103,6623,0,
103,1225,0,
103,11516,0,
103,11488,0,
103,11493,0,
103,11487,0,
103,11434,0,
103,11492,0,
103,1205,0,
103,11548,0,
103,1227,0,
103,1213,0,
103,6777,0,
103,11471,0,
103,6595,0,
103,11468,0,
103,11629,0,
103,11497,0,
103,6812,0,
103,6839,0,
103,6601,0,
103,11551,0,
103,11631,0,
103,1207,0,
103,11458,0,
103,11446,0,
103,11462,0,
103,6794,0,
103,1221,0,
103,11589,0,
103,11449,0,
103,11514,0,
103,6788,0,
103,6602,0,
103,6853,0,
103,6600,0,
103,11485,0,
103,11445,0,
103,11479,0,
103,11590,0,
103,11427,0,
103,6811,0,
103,6829,0,
103,6817,0,
103,1210,0,
103,1231,0,
103,11542,0,
103,6617,0,
103,6835,0,
103,6604,0,
103,11431,0,
103,6819,0,
103,11541,0,
103,1232,0,
103,11511,0,
103,6619,0,
103,6822,0,
103,6625,0,
96,1327,1,pro
96,1324,1,pro
96,1325,1,pro
96,1328,1,pro
96,1322,1,pro
96,1330,1,pro
96,1309,1,pro
96,1323,1,pro
96,1320,1,pro
96,1321,1,pro
96,1326,1,pro
96,1331,1,pro
96,1332,1,con
96,1334,1,con
96,1337,1,con
96,1343,1,con
96,1346,1,con
96,1348,1,con
96,1342,1,con
96,1338,1,con
96,1345,1,con
96,1336,1,con
96,1339,1,con
96,1340,1,con
96,1341,1,con
96,1347,1,con
96,1307,1,con
96,1335,1,con
96,1344,1,con
96,1333,1,con
96,7201,0,
96,6415,0,
96,7951,0,
96,8556,0,
96,7953,0,
96,7959,0,
96,8563,0,
96,7978,0,
96,6388,0,
96,6391,0,
96,7219,0,
96,7952,0,
96,7977,0,
96,6393,0,
96,7979,0,
96,7178,0,
96,7964,0,
96,7967,0,
96,7956,0,
96,7220,0,
96,7190,0,
96,7953,0,
96,8575,0,
96,6389,0,
96,6390,0,
96,8568,0,
96,7961,0,
96,8566,0,
96,7200,0,
96,7177,0,
65,7956,1,pro
65,7959,1,pro
65,7952,1,pro
65,7955,1,pro
65,7979,1,pro
65,7958,1,pro
65,7975,1,pro
65,7954,1,pro
65,7957,1,pro
65,7953,1,pro
65,7951,1,pro
65,7966,1,con
65,7963,1,con
65,7971,1,con
65,7964,1,con
65,7967,1,con
65,7953,1,con
65,7977,1,con
65,7968,1,con
65,7961,1,con
65,7950,1,con
65,7978,1,con
65,7974,1,con
65,7960,1,con
65,7965,1,con
65,7970,1,con
65,7972,1,con
65,4878,0,
65,11488,0,
65,1505,0,
65,6603,0,
65,8950,0,
65,4888,0,
65,11599,0,
65,11464,0,
65,11591,0,
65,6624,0,
65,8960,0,
65,1504,0,
65,11492,0,
65,11513,0,
65,11589,0,
65,8943,0,
65,11543,0,
65,11531,0,
65,6619,0,
65,11550,0,
65,1496,0,
65,11453,0,
65,11630,0,
65,11536,0,
65,1485,0,
65,4875,0,
65,1491,0,
83,1487,1,pro
83,1488,1,pro
83,1493,1,pro
83,1490,1,pro
83,1492,1,pro
83,1483,1,pro
83,1486,1,pro
83,1489,1,pro
83,1485,1,pro
83,1477,1,pro
83,1491,1,pro
